channel_id,channel_name,channel_type,base_url,discovery_method,download_method,assembly_evidence_available,automation_level,access_status,license_handling,verification_status,workflow_role,known_limitation
datacite,DataCite,DOI index,https://api.datacite.org/dois,REST full-text and repository-prefix queries,Follow DOI to repository,Title description subjects related identifiers,full,public,Per-record rights metadata,verified_search,Primary cross-repository discovery index,Metadata index only; does not host geometry
zenodo,Zenodo,General research repository,https://zenodo.org,REST API and DataCite,Stable direct file URL,File names sizes checksums description license,full,public,Per-record license,verified_direct,Primary open assembly source,Some records package parts instead of a single assembly
mendeley,Mendeley Data,General research repository,https://data.mendeley.com,DataCite plus anonymous public folder API,Stable public-files URL,Full directory tree file size SHA-256 BOM and description,full,public,Per-record license,verified_api_and_direct,Primary metadata-first source,Search is best entered through DataCite; some files have noncommercial terms
dryad,Dryad,Curated research repository,https://datadryad.org,REST/DOI metadata and file manifest,File stream URL,File list sizes methods and structured metadata,partial,public,Dataset-wide reuse terms,verified_metadata_download_403_in_web_fetch,Large-corpus metadata source,Large files and anti-bot behavior make range probing unreliable
nist_cad_pmi,NIST MBE PMI,Government reference corpus,https://www.nist.gov/ctl/smart-connected-systems-division/smart-connected-manufacturing-systems-group/mbe-pmi-0,Curated web index,Direct STEP/CAD packages,BOM viewer test-case family and explicit assembly descriptions,partial,public,Explicit unrestricted use,verified_public,Authoritative assembly and interoperability validation,Small controlled test assemblies rather than broad industrial corpus
step_tools,STEP Tools sample library,Standards sample library,https://steptools.com/docs/stpfiles,Curated AP203/AP214/AP242 pages,Direct STP link,STEP text exposes PRODUCT and product structure before download,full,public,Copyright/sample terms need review,verified_direct,Fast parser and product-structure validation,Tiny synthetic interoperability examples
cax_if,CAx Implementor Forum STEP library,Standards consortium library,https://www.mbx-if.org/home/cax/recpractices,Curated recommended-practice and test library,Direct/member-dependent STEP files,Test-case identity AP schema and conformance notes,partial,mixed,Terms vary by test library,qualified,Authoritative additional validation,Some files require membership or alternate mirrors
onshape,Onshape public documents,Cloud CAD platform,https://cad.onshape.com,Public document search and API,Authenticated whole-assembly STEP translation,Native parts subassemblies mates quantities and names,full,login_required,Per-document terms/manual check,verified_export_api,High-value live assembly discovery,Credentials quotas and asynchronous exports required
autodesk_fusion_gallery,Autodesk Fusion 360 Gallery,Research CAD corpus,https://www.research.autodesk.com/publications/fusion-360-gallery,Published dataset index,Dataset archives,Design history and assembly graph where provided,partial,public,Research dataset terms,qualified_metadata_only,Metadata and topology research,Public releases are not consistently STEP/BREP assemblies
merl_assemblybench,MERL AssemblyBench,Industrial assembly benchmark,https://merl.com/research/downloads/AssemblyBench,Curated download page,Zenodo/data package,Manuals part identities assembly order and trajectories,partial,public,Research terms/manual check,verified_public,Component taxonomy and assembly-sequence evidence,3D models are not yet verified as STEP BREP
3dcontentcentral,3D ContentCentral,Vendor/community CAD portal,https://www.3dcontentcentral.com,Web search by assemblies and suppliers,Login download with chosen STEP format,Part-versus-assembly type supplier and file tree,manual,login_required,Uploader/supplier terms,qualified_manual,Targeted commercial assembly sampling,Automation and redistribution restrictions; heterogeneous quality
grabcad,GrabCAD Community,Community CAD portal,https://grabcad.com/library,Web search assembly filters,Login/manual download,Preview title description comments and native assembly archive,manual,login_required,Uploader-specific terms,qualified_manual,Discovery of real engineered products,No reliable anonymous bulk API; licenses often ambiguous
