question,coverage_status,strongest_sources,evidence_used,remaining_gap
Can the file be downloaded without full-corpus acquisition?,covered,"Zenodo; Mendeley Data; NIST; STEP Tools",Anonymous file manifests direct URLs HTTP range support and checksums,"Login-only portals remain manual"
Is it a real multi-part assembly rather than an isolated standard part?,partially_covered,"NIST MTC; Mendeley printer; Zenodo raft robot; STEP Tools AS1",BOM full-assembly wording STEP PRODUCT entities NEXT_ASSEMBLY_USAGE_OCCURRENCE and archive entry names,"Large STEP exporters may place product structure outside the sampled head/tail; OCCT remains final admission"
Does it contain repeated parts?,partially_covered,"Zenodo raft robot; NIST MTC; AutoMate; Mendeley printer",Explicit quantities captive screws fastener folders BOM and mate graphs,"Many landing pages omit quantities"
Which manufacturing sector does it represent?,covered,"Mendeley Data; Zenodo; NIST; Dryad",Repository categories title abstract and project documentation,"Seven current leads are generic standards/benchmark records and stay sector=unknown"
Which engineering component domains are likely present?,partially_covered,"Mendeley BOM projects; NIST MTC; Zenodo documented assemblies",Explainable keyword evidence for fastening transmission motion fluid structure tooling electrical and human-interface domains,"Probabilities are metadata hypotheses not geometric truth"
Is the license safe for automatic staging?,partially_covered,"Zenodo; Mendeley Data; Dryad; NIST",Repository rights identifiers and explicit NIST unrestricted statement,"Per-document Onshape and community portal licenses require review"
Can discovery run automatically beyond GitHub?,covered,"DataCite; Zenodo; Mendeley Data; Dryad; OSF; Figshare",Public APIs DOI repository prefixes and anonymous file manifests,"Some provider searches have noisy semantics and need post-filtering"
Are stable source URLs retained?,covered,"DOI repositories; NIST; STEP Tools",Landing URL direct download URL expected bytes hash when published and probe log,Community portal links can change or require sessions
Are failed and unsuitable channels retained?,covered,"model_channel_catalog.csv; channel_acquisition_log.csv",Explicit qualified manual metadata-only screened-out and failure states,None for the searched source universe
Are valves pumps seals and other fluid-power assemblies sufficiently represented?,gap,"Mendeley Data; TraceParts; 3Dfindit",The live adapter found a gear-pump STEP and flowmeter STEP files but only low-confidence isolated components,"Need a full licensed valve/pump/cylinder assembly with repeated hardware"
Are cutting-tool assemblies sufficiently represented?,partial,"Mendeley ScarfingTool",Complete tool documentation STEP BOM spindle sensor suction and pneumatic evidence,"Need additional independent cutter/tool-holder assemblies"
