id,provider,title,manufacturing_sector,sector_confidence,engineering_domains,possible_components,assembly_confidence,assembly_score,decision,access_status,license,landing_url,download_url,evidence,caveats
mendeley_fff_printer,mendeley,Reactivation and Upgrading of a Legacy FFF 3D Printer,additive_manufacturing,high,motion_actuation | power_transmission | structure_enclosure,frames_brackets_plates | electronics_connectors | motors_servos | pulleys_belts_chains,high,11,priority_download,verified_api,CERN-OHL-P-2.0,https://data.mendeley.com/datasets/v8yf4j9y95/1,https://data.mendeley.com/public-files/datasets/v8yf4j9y95/files/14476f34-6cd8-4872-bc68-7b53dcfaf317/file_downloaded,"parts_evidence:bom | repetition_evidence:fastening | step_brep_format | step_structure:products=141,occurrences=0",
mendeley_tape_module,mendeley,Desktop-Scale Robot Tape Manipulation for Additive Manufacturing,robotics_automation,medium,structure_enclosure,frames_brackets_plates,low,4,reject_or_metadata_only,verified_api,CC-BY-NC-3.0,https://data.mendeley.com/datasets/88ybzv5d5s/2,,parts_evidence:all parts|components | assembly_file:.sldasm,no_step_brep_evidence
mendeley_scarfing_tool,mendeley,ScarfingTool: Advanced Tool to Repair CFRP,machine_tools,high,tooling_machining | electrical_control | fluid_handling,tools_cutters | electronics_connectors | shafts_spindles | valves_pumps_cylinders,low,4,manual_assembly_review,verified_api,CC-BY-SA-4.0,https://data.mendeley.com/datasets/h2zrpfx3pf/1,,parts_evidence:bill of materials | step_brep_format,
mendeley_ap242_engine,mendeley,STEP AP242 Centering Pin Mechanism and Engine Assembly,industrial_equipment,medium,,,medium,5,metadata_first,verified_api,CC-BY-4.0,https://data.mendeley.com/datasets/vgkvj5nn6s/2,,explicit_full_assembly:assembly model | step_brep_format,
mendeley_premove_helmet,mendeley,PREMOVE_HELMET,automotive_mobility,medium,human_interface | structure_enclosure,frames_brackets_plates,low,4,manual_assembly_review,verified_api,CC-BY-NC-3.0,https://data.mendeley.com/datasets/465mjbw33j/3,,parts_evidence:bom|components | step_brep_format,
mendeley_modular_robotics_kit,mendeley,Open-Source Modular Robotics Kit for STEM,robotics_automation,high,electrical_control | motion_actuation,electronics_connectors | motors_servos,medium,7,metadata_first,verified_api,CC-BY-4.0,https://data.mendeley.com/datasets/pmvdtjs2jv/3,,explicit_full_assembly:assemblies | parts_evidence:bom | step_brep_format,
mendeley_mock_blade,mendeley,Mock-blade with dovetail attachments,aerospace_turbomachinery,high,,,medium,6,metadata_first,verified_api,CC-BY-4.0,https://data.mendeley.com/datasets/xkssd7gr92/1,,parts_evidence:bom | assembly_file:assembly.step | step_brep_format,
mendeley_gearpump_gearbox,mendeley,Human-robot collaborative assembly workstation case studies,industrial_equipment,medium,power_transmission | fluid_handling,covers_housings | gears_racks_worms | valves_pumps_cylinders,low,3,reject_or_metadata_only,verified_api,CC-BY-4.0,https://data.mendeley.com/datasets/v3f5cd58hx/1,,explicit_full_assembly:assembled,no_step_brep_evidence
zenodo_generated_reassembly,zenodo,Generated Reassembly Dataset,unknown,low,,,medium,5,metadata_first,verified_direct,CC-BY-4.0,https://zenodo.org/records/7628235,https://zenodo.org/records/7628235/files/generated-reassembly-dataset.zip?download=1,explicit_full_assembly:assemblies | step_brep_format,
zenodo_lbnl_raft_robot,zenodo,LBNL DESI Raft Fiber Robot Assembly,robotics_automation,medium,fastening_joining | structure_enclosure,frames_brackets_plates | screws_bolts,high,11,priority_download,verified_direct,CC-BY-4.0,https://zenodo.org/records/10688571,https://zenodo.org/records/10688571/files/DE-1000-0318_Raft_Assembly_2024-02-21.STEP?download=1,"parts_evidence:parts list | repetition_evidence:screws | step_brep_format | step_structure:products=1,occurrences=285",
